channel code,order no,extern order no,flipkart extern order no,unique external order no,order date & time,date,order type,order level status,line status,sr status,forward status,report status,cancellation type,reason for cancellation,bill city,bill pin code,bill email,bill phone,bill state,ship city,ship pincode,ship email,ship phone,ship state,sku,ean,order amount,line amount,mrp,discount amount,order qty,voucher code,voucher amount,shipping charges,brand code,fullfilment location name,fullfilment location pincode,fullfilment location city,fullfilment location state,location type,extern location code,shipment id,extern transporter name,awb,razorpay status,razorpay order id,razorpay payment id,transporter remarks,transporter remarks2,transporter shipment id,internal invoice no,external invoice no,invoice date,pack time & date,ship by date,shipped  complete time & date,line level tax value,order level tax value,tagloop,on hold,bag id,marketplace name,marketplace type,line cancellation reason,line cancelled by,sr pickup timestamp,sr customer delivered timestamp,sr pickup ageing in days,sr delivered ageing in days,exchange original bagid,replacement order,customer order tag,payment gateway name,pg amount (bagid),ca+brand point redemption (bag id),egc redemption (bag id),is exchange,original bagid,original order no,payu payment id,order channel,delivered_date,marketplace/web,order-sku_combo,fulfillment_id,order_dt,order_dt_date,order_dt_time,pack_dt,pack_dt_date,pack_dt_time,ship_dt,ship_dt_date,ship_dt_time,del_dt,del_dt_date,del_dt_time,sr_order picked up date,sr_order deliver date,sr_pickupdt,sr_pickupdt_date,sr_pickupdt_time,sr_deliverdt,sr_deliverdt_date,sr_deliverdt_time,o2p,p2s,s2d,o2d,o2p_D,p2s_D,s2d_D,o2d_D,o2p_Abs,p2s_Abs,s2d_Abs,o2d_Abs,o2p_H,p2s_H,s2d_H,o2d_H,lane,sr_zone,sr_charged weight,sr_edd,sr_weight (kg),sr_awb code,sr_awb assigned date,sr_order tags,sr_master courier
NB,NB50000000,NBI00500000,,NBI00500000,02-05-2026 05:37,02-05-2026,Prepaid,Partially Shipped,processing,delivered,cancelled,Pickup pending,,,Mumbai,400077,user56566@example.com,7899825838,Maharashtra,Mumbai,400077,user56566@example.com,7899825838,Maharashtra,SKU8078673,6.03E+12,1299,1299,1499,200,1,,0,0,NB,NB Warehouse,421301,Thane,Maharashtra,WH,MBWH78,LFW849621470,BlueDart,4460967357,,,pay_NBWCBVHYJCHD,,,TSID849621470,NBLFW7110082321,9.42E+14,02-05-2026 05:37,02-05-2026 07:03,02-07-2026 07:48,02-05-2026 07:48,64.95,64.95,,NO,NBI00500000-201276659-1,Magento,Custom,,,,,,,NO,,,,App,02-07-2026,Website,NBI00500000201276659,NBI00500000201276659,02-05-2026 05:37,02-05-2026,05:37:57,02-05-2026 07:03,Marketplace,07:03:04,02-05-2026 07:48,02-05-2026,07:48:26,02-07-2026 16:14,02-07-2026,16:14:50,02-05-2026,02-07-2026,02-05-2026 07:48,02-05-2026,07:48:26,02-07-2026 16:14,02-07-2026,16:14:50,1.419,0.756,56.44,58.615,D0,D0,D2,D2,1.419,0.756,56.44,58.615,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Thane-Mumbai,z_b,1.5,02-08-2026,1.3,4460967357,02-05-2026 06:58,WMS,BlueDart,,,,,,,
AX,AX50000001,AXI00500001,,AXI00500001,3/19/2026 14:36,3/19/2026,COD,Cancelled,cancelled,pickup scheduled,in transit,Pickup pending,,,Delhi,110001,user10425@example.com,8131247330,Delhi,Delhi,110001,user10425@example.com,8131247330,Delhi,SKU4684531,6.36E+12,799,799,999,200,1,,0,0,AX,AX Fulfillment,560100,Bengaluru,Karnataka,WH,MBWH73,LFW790256940,BlueDart,7439149233,,,pay_AXTCMMTOQIRA,,,TSID790256940,AXLFW2970753705,9.42E+14,3/19/2026 14:36,3/19/2026 17:12,3/21/2026 3:33,3/19/2026 18:19,39.95,39.95,,NO,AXI00500001-422681391-1,Salesforce Commerce Cloud,Salesforce,,,,,,,NO,,,,App,3/21/2026,Website,AXI00500001422681391,AXI00500001422681391,3/19/2026 14:36,3/19/2026,14:36:16,3/19/2026 17:12,Web,17:12:24,3/19/2026 18:19,3/19/2026,18:19:08,3/21/2026 10:03,3/21/2026,10:03:16,3/19/2026,3/21/2026,3/19/2026 18:19,3/19/2026,18:19:08,3/21/2026 10:03,3/21/2026,10:03:16,2.602,1.112,39.736,43.45,D0,D0,D1,D1,2.602,1.112,39.736,43.45,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bengaluru-Delhi,z_b,0.6,3/23/2026,0.4,7439149233,3/19/2026 17:07,WMS,BlueDart,,,,,,,
ZP,ZP50000002,ZPI00500002,,ZPI00500002,03-06-2026 20:59,03-06-2026,Prepaid,Delivered,processing,pickup scheduled,pickup pending,Pickup pending,,,Bengaluru,560001,user40007@example.com,7289482182,Karnataka,Bengaluru,560001,user40007@example.com,7289482182,Karnataka,SKU3564217,6.84E+12,1299,1299,1999,700,3,,0,0,ZP,ZP Center,110020,Delhi,Delhi,WH,MBWH79,LFW358633898,BlueDart,2028439863,,,pay_ZPOQODHHCKAS,,,TSID358633898,ZPLFW5067116918,9.17E+14,03-06-2026 20:59,03-07-2026 00:36,03-09-2026 02:13,03-07-2026 01:50,64.95,64.95,,NO,ZPI00500002-124570476-1,Custom,Custom,,,,,,,NO,,,,Web,03-09-2026,Website,ZPI00500002124570476,ZPI00500002124570476,03-06-2026 20:59,03-06-2026,20:59:25,03-07-2026 00:36,Web,00:36:07,03-07-2026 01:50,03-07-2026,01:50:53,03-09-2026 04:11,03-09-2026,04:11:06,03-07-2026,03-09-2026,03-07-2026 01:50,03-07-2026,01:50:53,03-09-2026 04:11,03-09-2026,04:11:06,3.612,1.246,50.337,55.195,D0,D0,D2,D2,3.612,1.246,50.337,55.195,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Delhi-Bengaluru,z_b,0.6,03-08-2026,0.6,2028439863,03-07-2026 00:31,WMS,BlueDart,,,,,,,
NB,NB50000003,NBI00500003,,NBI00500003,01-10-2026 11:49,01-10-2026,Prepaid,Shipped,processing,pending,cancelled,Pickup pending,,,Pune,411001,user65444@example.com,9991837720,Maharashtra,Pune,411001,user65444@example.com,9991837720,Maharashtra,SKU8930103,6.86E+12,3999,3999,4499,500,1,,0,0,NB,NB Warehouse,421301,Thane,Maharashtra,STORE,MBWH19,LFW801642483,XpressBees,9822598054,,,pay_NBHFNPPGMBFM,,,TSID801642483,NBLFW1422701550,9.65E+14,01-10-2026 11:49,01-10-2026 13:39,01-12-2026 22:32,01-10-2026 15:22,199.95,199.95,,NO,NBI00500003-037124392-1,Salesforce Commerce Cloud,Salesforce,,,,,,,NO,,,,App,01-12-2026,Website,NBI00500003037124392,NBI00500003037124392,01-10-2026 11:49,01-10-2026,11:49:32,01-10-2026 13:39,Web,13:39:39,01-10-2026 15:22,01-10-2026,15:22:28,01-12-2026 11:43,01-12-2026,11:43:42,01-10-2026,01-12-2026,01-10-2026 15:22,01-10-2026,15:22:28,01-12-2026 11:43,01-12-2026,11:43:42,1.835,1.714,44.354,47.903,D0,D0,D1,D1,1.835,1.714,44.354,47.903,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Thane-Pune,z_b,2.3,1/13/2026,1.9,9822598054,01-10-2026 13:34,WMS,XpressBees,,,,,,,
ZP,ZP50000004,ZPI00500004,,ZPI00500004,1/20/2026 4:22,1/20/2026,Prepaid,Shipped,shipped complete,delivered,pickup pending,Pickup pending,,,Ahmedabad,380001,user90173@example.com,9808806886,Gujarat,Ahmedabad,380001,user90173@example.com,9808806886,Gujarat,SKU6261415,6.05E+12,3799,3799,4499,700,3,,0,0,ZP,ZP Center,110020,Delhi,Delhi,STORE,MBWH43,LFW228727266,ElasticRun SDD,6305160342,,,pay_ZPOTSDCRGQIE,,,TSID228727266,ZPLFW3446737272,9.99E+14,1/20/2026 4:22,1/20/2026 6:01,1/21/2026 7:17,1/20/2026 6:40,189.95,189.95,,NO,ZPI00500004-785130539-1,WooCommerce,Custom,,,,,,,NO,,,,Web,1/22/2026,Website,ZPI00500004785130539,ZPI00500004785130539,1/20/2026 4:22,1/20/2026,04:22:03,1/20/2026 6:01,Web,06:01:14,1/20/2026 6:40,1/20/2026,06:40:01,1/22/2026 14:48,1/22/2026,14:48:40,1/20/2026,1/22/2026,1/20/2026 6:40,1/20/2026,06:40:01,1/22/2026 14:48,1/22/2026,14:48:40,1.653,0.646,56.144,58.444,D0,D0,D2,D2,1.653,0.646,56.144,58.444,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Delhi-Ahmedabad,z_b,1,1/23/2026,0.9,6305160342,1/20/2026 5:56,WMS,ElasticRun SDD,,,,,,,
ZP,ZP50000005,ZPI00500005,,ZPI00500005,03-12-2026 06:53,03-12-2026,Prepaid,Delivered,delivered,pending,cancelled,Pickup pending,,,Mumbai,400077,user31299@example.com,7760434128,Maharashtra,Mumbai,400077,user31299@example.com,7760434128,Maharashtra,SKU2795765,6.61E+12,1699,1699,1999,300,2,,0,0,ZP,ZP Center,110020,Delhi,Delhi,STORE,MBWH79,LFW554811020,ElasticRun SDD,9986353481,,,pay_ZPZBLGVHVDLY,,,TSID554811020,ZPLFW8856990236,9.01E+14,03-12-2026 06:53,03-12-2026 09:52,3/13/2026 12:25,03-12-2026 12:43,84.95,84.95,,NO,ZPI00500005-779044123-1,Custom,Custom,,,,,,,NO,,,,App,3/13/2026,Website,ZPI00500005779044123,ZPI00500005779044123,03-12-2026 06:53,03-12-2026,06:53:08,03-12-2026 09:52,Marketplace,09:52:33,03-12-2026 12:43,03-12-2026,12:43:23,3/13/2026 8:46,3/13/2026,08:46:50,03-12-2026,3/13/2026,03-12-2026 12:43,03-12-2026,12:43:23,3/13/2026 8:46,3/13/2026,08:46:50,2.99,2.847,20.057,25.895,D0,D0,D0,D1,2.99,2.847,20.057,25.895,0-6Hrs,0-6Hrs,12-24Hrs,24+Hrs,Delhi-Mumbai,z_b,2,3/14/2026,1.5,9986353481,03-12-2026 09:47,WMS,ElasticRun SDD,,,,,,,
RK,RK50000006,RKI00500006,,RKI00500006,1/23/2026 16:56,1/23/2026,COD,Partially Shipped,delivered,in transit,delivered,Pickup pending,,,Mumbai,400077,user91678@example.com,8348257414,Maharashtra,Mumbai,400077,user91678@example.com,8348257414,Maharashtra,SKU5163555,6.17E+12,999,999,1499,500,1,,0,0,RK,RK Hub,400701,Navi Mumbai,Maharashtra,STORE,MBWH43,LFW808705238,Delhivery,1957449367,,,pay_RKQDMSGIBWNA,,,TSID808705238,RKLFW6124453431,9.54E+14,1/23/2026 16:56,1/23/2026 18:56,1/26/2026 10:24,1/23/2026 21:45,49.95,49.95,,NO,RKI00500006-944613643-1,Custom,Custom,,,,,,,NO,,,,Web,1/26/2026,Website,RKI00500006944613643,RKI00500006944613643,1/23/2026 16:56,1/23/2026,16:56:27,1/23/2026 18:56,Marketplace,18:56:15,1/23/2026 21:45,1/23/2026,21:45:52,1/26/2026 9:53,1/26/2026,09:53:55,1/23/2026,1/26/2026,1/23/2026 21:45,1/23/2026,21:45:52,1/26/2026 9:53,1/26/2026,09:53:55,1.997,2.827,60.134,64.958,D0,D0,D2,D2,1.997,2.827,60.134,64.958,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Navi Mumbai-Mumbai,z_b,1.5,1/26/2026,1,1957449367,1/23/2026 18:51,WMS,Delhivery,,,,,,,
NB,NB50000007,NBI00500007,,NBI00500007,03-06-2026 07:06,03-06-2026,COD,Cancelled,shipped complete,pending,delivered,Pickup pending,Out of Stock,Duplicate order,Chennai,600001,user69829@example.com,7572687073,Tamil Nadu,Chennai,600001,user69829@example.com,7572687073,Tamil Nadu,SKU8053918,6.74E+12,1299,1299,1999,700,3,,0,0,NB,NB Warehouse,421301,Thane,Maharashtra,STORE,MBWH19,LFW574364121,XpressBees,6679017210,,,pay_NBHEUWAYYDYN,,,TSID574364121,NBLFW5659161352,9.90E+14,03-06-2026 07:06,03-06-2026 09:20,03-07-2026 13:13,03-06-2026 10:50,64.95,64.95,,NO,NBI00500007-657758783-1,Shopify,Custom,,,,,,,NO,,,,Web,03-07-2026,Website,NBI00500007657758783,NBI00500007657758783,03-06-2026 07:06,03-06-2026,07:06:48,03-06-2026 09:20,Web,09:20:19,03-06-2026 10:50,03-06-2026,10:50:41,03-07-2026 16:35,03-07-2026,16:35:02,03-06-2026,03-07-2026,03-06-2026 10:50,03-06-2026,10:50:41,03-07-2026 16:35,03-07-2026,16:35:02,2.225,1.506,29.739,33.47,D0,D0,D1,D1,2.225,1.506,29.739,33.47,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Thane-Chennai,z_b,1.3,03-07-2026,1,6679017210,03-06-2026 09:15,WMS,XpressBees,,,,,,,
RK,RK50000008,RKI00500008,,RKI00500008,3/13/2026 13:41,3/13/2026,COD,Cancelled,cancelled,delivered,delivered,Pickup pending,,,Jaipur,302001,user73993@example.com,7942408767,Rajasthan,Jaipur,302001,user73993@example.com,7942408767,Rajasthan,SKU9468772,6.91E+12,4499,4499,4999,500,1,,0,0,RK,RK Hub,400701,Navi Mumbai,Maharashtra,STORE,MBWH63,LFW394846763,XpressBees,3691864041,,,pay_RKSWAYSMPALJ,,,TSID394846763,RKLFW2889238423,9.43E+14,3/13/2026 13:41,3/13/2026 17:32,3/16/2026 0:13,3/13/2026 20:16,224.95,224.95,,NO,RKI00500008-365904348-1,Magento,Custom,,,,,,,NO,,,,App,3/15/2026,Website,RKI00500008365904348,RKI00500008365904348,3/13/2026 13:41,3/13/2026,13:41:43,3/13/2026 17:32,Web,17:32:43,3/13/2026 20:16,3/13/2026,20:16:26,3/15/2026 21:01,3/15/2026,21:01:59,3/13/2026,3/15/2026,3/13/2026 20:16,3/13/2026,20:16:26,3/15/2026 21:01,3/15/2026,21:01:59,3.85,2.729,48.759,55.338,D0,D0,D2,D2,3.85,2.729,48.759,55.338,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Navi Mumbai-Jaipur,z_b,1.8,3/15/2026,1.5,3691864041,3/13/2026 17:27,WMS,XpressBees,,,,,,,
AX,AX50000009,AXI00500009,,AXI00500009,03-04-2026 00:40,03-04-2026,Prepaid,Shipped,processing,delivered,cancelled,Pickup pending,Out of Stock,Duplicate order,Kolkata,700001,user50888@example.com,9473028098,West Bengal,Kolkata,700001,user50888@example.com,9473028098,West Bengal,SKU8841505,6.14E+12,4999,4999,4999,0,2,,0,0,AX,AX Fulfillment,560100,Bengaluru,Karnataka,STORE,MBWH93,LFW451492250,ElasticRun SDD,6412330148,,,pay_AXPVDSGOWIYL,,,TSID451492250,AXLFW6204041308,9.56E+14,03-04-2026 00:40,03-04-2026 02:40,03-05-2026 08:35,03-04-2026 04:52,249.95,249.95,,NO,AXI00500009-388354666-1,Shopify,Custom,,,,,,,NO,,,,Web,03-05-2026,Website,AXI00500009388354666,AXI00500009388354666,03-04-2026 00:40,03-04-2026,00:40:03,03-04-2026 02:40,Marketplace,02:40:33,03-04-2026 04:52,03-04-2026,04:52:25,03-05-2026 17:07,03-05-2026,17:07:58,03-04-2026,03-05-2026,03-04-2026 04:52,03-04-2026,04:52:25,03-05-2026 17:07,03-05-2026,17:07:58,2.008,2.198,36.259,40.465,D0,D0,D1,D1,2.008,2.198,36.259,40.465,0-6Hrs,0-6Hrs,24+Hrs,24+Hrs,Bengaluru-Kolkata,z_b,2,03-05-2026,1.9,6412330148,03-04-2026 02:35,WMS,ElasticRun SDD,,,,,,,
